Name,Price,Publisher,Date of Release,Category,Age Rating,Actual_size,Date
WhatsApp Desktop,1.0,WhatsApp Inc.,2017-02-01,Social,3.0,379.39,Wednesday
Telegram Desktop,1.0,Telegram Messenger LLP,2017-04-03,Social,18.0,103.0,Monday
Amazon Prime Video f,1.0,Amazon Development Centre (London) Ltd,2020-02-24,Entertainment,12.0,39.86,Monday
Instagram,1.0,Instagram,2016-02-26,Social,12.0,4.59,Friday
Spotify Music,1.0,Spotify AB,2017-05-26,Music,12.0,182.41,Friday
Netflix,1.0,"Netflix, Inc.",2010-10-18,Entertainment,12.0,76.17,Monday
VLC UWP,1.0,VideoLAN,2016-05-21,Photo & video,3.0,98.23,Saturday
Your Phone,1.0,Microsoft Corporation,2018-10-02,Productivity,3.0,307.4,Tuesday
iTunes,1.0,Apple Inc.,2018-04-26,Music,12.0,496.77,Thursday
Python 3.9,1.0,Python Software Foundation,2019-11-19,Developer tools  >  Development kits,3.0,103.63,Tuesday
Lively Wallpaper,1.0,rocksdanister,2020-11-25,Personalization  >  Wallpaper & lock screens,3.0,483.0,Wednesday
Adobe Lightroom,1.0,Adobe Inc.,2019-08-08,Photo & video,3.0,1370.0,Thursday
Facebook,1.0,Facebook Inc,2013-10-17,Social,12.0,1.88,Thursday
Dolby Access,1.0,Dolby Laboratories,2017-02-16,Entertainment,18.0,129.48,Thursday
Alexa,1.0,AMZN Mobile LLC.,2018-10-12,Productivity,3.0,144.13,Friday
Amazon Music,1.0,AMZN Mobile LLC,2018-02-13,Music,12.0,208.26,Tuesday
iCloud,1.0,Apple Inc.,2019-02-01,Productivity,3.0,543.19,Friday
Xbox,1.0,Microsoft Corporation,2019-06-09,Entertainment,12.0,75.34,Sunday
WPS Office Suite - P,1.0,Kingsoft Office Software Corporation Limited,2019-04-23,Productivity,3.0,1020.0,Tuesday
Adobe Photoshop Expr,1.0,Adobe Inc.,2013-05-17,Photo & video,3.0,57.23,Friday
SHARE.it,1.0,SHAREit Technologies Co.Ltd,2014-09-25,Utilities & tools,3.0,28.5,Thursday
Screen recorder + - ,1.0,"Wuhan Net Power Technology Co., Ltd",2020-05-28,Multimedia design  >  Photo & video production,3.0,109.29,Thursday
Flipkart,1.0,FLIPKART,2014-04-08,Shopping,3.0,844.0,Tuesday
Picsart Photo Studio,1.0,PicsArt Inc.,2013-12-27,Photo & video,3.0,133.73,Friday
Pinterest,1.0,Pinterest Inc.,2019-02-22,Social,12.0,964.0,Friday
Power BI Desktop,1.0,Microsoft Corporation,2017-09-25,Business  >  Data & analytics,3.0,1810.0,Monday
Raw Image Extension,1.0,Microsoft Corporation,2019-01-03,Utilities & tools,3.0,2.95,Thursday
Night Skies PREMIUM,1.0,Microsoft Corporation,2020-06-17,Personalization  >  Themes,3.0,9.8,Wednesday
Hotspot Shield Free ,1.0,Pango Inc.,2015-07-16,Productivity,3.0,48.06,Thursday
Microsoft Whiteboard,1.0,Microsoft Corporation,2017-09-25,Productivity,12.0,157.34,Monday
Dell Mobile Connect,1.0,Screenovate Technologies,2021-01-13,Productivity,3.0,68.28,Wednesday
Microsoft To Do: Lis,1.0,Microsoft Corporation,2016-03-17,Productivity,3.0,69.08,Thursday
TranslucentTB,1.0,Charles Milette,2018-08-22,Personalization,3.0,5.31,Wednesday
Zoom Rooms,1.0,"Zoom Video Communications, Inc.",2017-11-10,Business  >  Collaboration,12.0,36.91,Friday
DTS Sound Unbound,1.0,"DTS, Inc.",2018-08-29,Entertainment,12.0,215.62,Wednesday
Gaana,1.0,"Times Internet, Limited",2012-05-24,Music,3.0,31.09,Thursday
Drawboard PDF - Read,1.0,Drawboard,2013-04-29,Productivity,3.0,103.66,Monday
Ubuntu,1.0,Canonical Group Limited,2017-07-10,Developer tools  >  Utilities,3.0,466.14,Monday
Net Speed Meter,1.0,Zero Byte,2019-11-21,Utilities & tools,3.0,6.47,Thursday
YouPlay - YouTube Pl,1.0,Lion Group,2019-12-16,Entertainment,12.0,29.79,Monday
Movie Maker - Video ,1.0,V3TApps,2017-12-26,Photo & video,3.0,243.69,Tuesday
Reader For Adobe Acr,2724.0,V3TApps,2017-12-26,Photo & video,3.0,243.69,Tuesday
Free Screen Recorder,1.0,Free Software Apps,2021-02-18,Productivity,3.0,6.8,Thursday
Luminar AI,1.0,"Skylum Software USA, Inc.",2021-05-19,Photo & video,3.0,1380.0,Wednesday
Ubuntu 20.04 LTS,1.0,Canonical Group Limited,2020-04-17,Developer tools  >  Utilities,3.0,466.14,Friday
Speedtest by Ookla,1.0,Ookla,2016-09-29,Utilities & tools,3.0,105.95,Thursday
Screen Recorder Pro ,1.0,winuwp,2019-05-20,Utilities & tools  >  File managers,3.0,72.38,Monday
FilmForth: video edi,1.0,IOForth,2020-02-07,Photo & video,3.0,674.67,Friday
NVIDIA Control Panel,1.0,NVIDIA Corp.,2017-11-23,Utilities & tools,3.0,37.12,Thursday
Arduino IDE,1.0,Arduino LLC,2016-09-15,Developer tools,3.0,576.69,Thursday
PDF Reader - Free PD,1.0,PDF reader apps,2021-03-26,Business  >  Collaboration,3.0,186.24,Friday
JioSaavn Music & Rad,1.0,Saavn,2015-08-27,Music,12.0,24.33,Thursday
7-Zip File Manager (,1.0,Hauke Hasselberg,2019-12-19,Utilities & tools  >  File managers,3.0,5.24,Thursday
All Video Player HD,1.0,韵华软件,2017-06-12,Photo & video,3.0,43.52,Monday
Messenger,1.0,Facebook Inc,2014-03-05,Social,12.0,500.52,Wednesday
WinZip Microsoft Sto,1.0,WinZip Computing,2018-08-20,Productivity,3.0,581.52,Monday
Windows Terminal,1.0,Microsoft Corporation,2019-06-21,Developer tools  >  Utilities,3.0,32.72,Friday
VPN Pro - Best Free ,1.0,FIYING ORONOCO LTD,2018-08-27,Productivity,3.0,8.45,Monday
Reddit,1.0,reddit Inc.,2021-08-30,Social,18.0,1.11,Monday
Pride 2020 Flags,1.0,Microsoft Corporation,2020-05-28,Personalization  >  Themes,3.0,15.38,Thursday
EasyMail for Gmail,1.0,Tim Grabinat,2015-08-31,Productivity,3.0,41.08,Monday
Earth from Above PRE,1.0,Microsoft Corporation,2020-03-06,Personalization  >  Themes,3.0,10.49,Friday
RAR Opener,1.0,Tiny Opener,2014-10-05,Utilities & tools,3.0,19.96,Sunday
Notepad++ (Unofficia,1.0,Hauke Hasselberg,2019-12-02,Developer tools  >  Utilities,3.0,18.05,Monday
AV1 Video Extension,1.0,Microsoft Corporation,2018-11-05,Utilities & tools,3.0,3.51,Monday
TeamViewer: Remote C,1.0,TeamViewer,2013-06-10,Productivity,3.0,17.81,Monday
"PDF Reader - View, E",1.0,Xodo Technologies Inc.,2014-01-30,Productivity,3.0,82.41,Thursday
Typing Practice - Li,1.0,Zoom Apps,2018-09-07,Utilities & tools,3.0,46.25,Friday
PDF Reader - Free PD,1.0,Kdan Mobile Software Ltd.,2015-10-30,Productivity,3.0,94.71,Friday
Free Unlimited VPN P,1.0,HOT TEXAS LTD,2019-06-12,Education  >  Books & reference,3.0,8.02,Wednesday
Animotica - Movie Ma,1.0,Mixilab,2017-07-25,Photo & video,3.0,118.34,Tuesday
ModernFlyouts (Previ,1.0,Sam G,2020-08-20,Utilities & tools,3.0,182.08,Thursday
Beauty of China PREM,1.0,Microsoft Corporation,2020-04-30,Personalization  >  Themes,3.0,17.84,Thursday
Scratch 3,1.0,Scratch Foundation,2019-01-02,Education,3.0,335.64,Wednesday
OMEN Gaming Hub,1.0,HP Inc.,2017-12-08,Utilities & tools,3.0,486.84,Friday
Blender,1.0,Blender Foundation,2018-11-01,Multimedia design,3.0,645.0,Thursday
RecForth - Free Scre,1.0,IOForth,2021-06-08,Photo & video,3.0,7.47,Tuesday
Slack,1.0,Slack Technologies Inc.,2014-09-25,Business,12.0,221.71,Thursday
McAfee Personal Secu,1.0,McAfee LLC.,2017-04-27,Security  >  PC protection,3.0,23.86,Thursday
Files - File Manager,1.0,Yair A,2019-07-16,Utilities & tools  >  File managers,3.0,50.07,Tuesday
Xbox Series X,1.0,Microsoft Corporation,2020-04-14,Personalization  >  Themes,3.0,29.54,Tuesday
MyASUS,1.0,ASUSTeK COMPUTER INC.,2018-01-08,Productivity,3.0,219.82,Monday
Japanese Islands PRE,1.0,Microsoft Corporation,2020-06-10,Personalization  >  Themes,3.0,15.64,Wednesday
Widget Launcher,1.0,Chan Software Solutions,2013-10-09,Productivity,3.0,234.52,Wednesday
Kali Linux,1.0,Kali Linux,2018-02-22,Security  >  PC protection,3.0,194.37,Thursday
Rain in the City,1.0,Microsoft Corporation,2020-04-03,Personalization  >  Themes,3.0,7.57,Friday
Total PC Cleaner - F,1.0,Total PC Cleaner,2017-12-26,Productivity,3.0,31.63,Tuesday
Crunchyroll,1.0,"Ellation, Inc.",2012-04-25,Entertainment,12.0,23.78,Wednesday
Windows Notepad,1.0,Microsoft Corporation,2019-08-05,Productivity,3.0,3.19,Monday
Ubuntu 18.04 LTS,1.0,Canonical Group Limited,2018-05-08,Developer tools  >  Servers,3.0,271.01,Tuesday
Clouds PREMIUM,1.0,Microsoft Corporation,2020-06-10,Personalization  >  Themes,3.0,10.21,Wednesday
Web VPN,1.0,Roob,2020-04-30,Productivity,3.0,6.3,Thursday
Python 3.10,1.0,Python Software Foundation,2020-10-06,Developer tools  >  Development kits,3.0,104.45,Tuesday
Zen: Coloring book f,1.0,JH Digital Solutions,2016-01-22,Entertainment,3.0,616.64,Friday
Wallpaper - HD Wallp,1.0,"Wuhan Net Power Technology Co., Ltd",2020-06-24,Personalization  >  Wallpaper & lock screens,3.0,34.92,Wednesday
Cinebench,1.0,MAXON Computer GmbH,2018-10-18,Productivity,3.0,643.03,Thursday
DVD Player - FREE,1.0,V3TApps,2020-04-15,Entertainment,3.0,158.39,Wednesday
Avast Antivirus Down,1.0,AVAST  Software,2015-09-23,Security,3.0,5.39,Wednesday
McLaren Senna Track ,1.0,Microsoft Corporation,2018-05-11,Personalization  >  Themes,3.0,6.64,Friday
Intel® Graphics Comm,1.0,INTEL CORP,2018-11-26,Business,3.0,125.37,Monday
Evernote,1.0,Evernote,2012-02-24,Productivity,3.0,429.18,Friday
CorelDRAW Microsoft ,1.0,Corel Corporation,2019-03-12,Multimedia design  >  Illustration & graphic design,3.0,1130.0,Tuesday
Duolingo - Learn Lan,1.0,Duolingo Inc.,2014-11-19,Education  >  Language,3.0,18.65,Wednesday
Snip & Sketch,1.0,Microsoft Corporation,2018-02-27,Utilities & tools,3.0,28.56,Tuesday
Desktop digital cloc,1.0,"Wuhan Net Power Technology Co., Ltd",2020-12-28,Utilities & tools,3.0,28.02,Monday
YouTV - YouTube Play,1.0,"Wuhan Net Power Technology Co., Ltd",2020-12-28,Utilities & tools,3.0,28.02,Monday
"HEIC Image Viewer, C",1.0,Media Life,2019-04-01,Photo & video,3.0,32.28,Monday
Samsung Flow,1.0,"Samsung Electronics Co, Ltd.",2017-10-11,Utilities & tools,3.0,63.07,Wednesday
"Trio Office - Word, ",1.0,GT Office PDF Studio,2019-01-03,Productivity,3.0,867.5,Thursday
EarTrumpet,1.0,File-New-Project,2016-09-09,Utilities & tools,3.0,7.48,Friday
Vector Art PREMIUM,1.0,Microsoft Corporation,2020-01-14,Personalization  >  Themes,3.0,2.3,Tuesday
hide.me VPN,1.0,eVenture Ltd,2017-07-12,Security,3.0,30.32,Wednesday
"1 File Viewer: jpg, ",1.0,regulars,2021-07-28,Utilities & tools,3.0,958.49,Wednesday
Wildlife of India,1.0,Microsoft Corporation,2018-04-17,Personalization  >  Themes,3.0,13.96,Tuesday
Microsoft Wireless D,1.0,Microsoft Corporation,2014-10-08,Utilities & tools,3.0,49.5,Wednesday
Microsoft Sticky Not,1.0,Microsoft Corporation,2016-05-03,Utilities & tools,3.0,39.82,Tuesday
AutoCAD mobile - DWG,1.0,Autodesk Inc.,2014-06-30,Productivity,3.0,472.61,Monday
GoTube - Video Downl,1.0,DarkAnn,2021-03-30,Entertainment,12.0,22.44,Tuesday
Battery Percentage I,1.0,Soleon Innovation,2020-03-11,Utilities & tools,3.0,604.0,Wednesday
PhotoScape X,1.0,Mooii Tech,2017-12-23,Photo & video,3.0,500.54,Saturday
Wikipedia,1.0,Wikimedia Foundation,2012-05-19,Books & reference  >  Reference,12.0,1.07,Saturday
River Roll On PREMIU,1.0,Microsoft Corporation,2020-06-11,Personalization  >  Themes,3.0,17.37,Thursday
RoundedTB,1.0,TorchGM,2021-06-01,Personalization,3.0,8.83,Tuesday
Feem v4 - Share File,1.0,FeePerfect AG,2016-02-28,Utilities & tools,3.0,13.13,Sunday
freda,1.0,Turnipsoft,2010-10-15,Books & reference  >  E-reader,3.0,62.1,Friday
VidMate Converter,1.0,Le Thanh Dat,2021-09-16,Photo & video,12.0,6.31,Thursday
Street Views PREMIUM,1.0,Microsoft Corporation,2019-12-18,Personalization  >  Themes,3.0,22.84,Wednesday
Microsoft Remote Des,1.0,Microsoft Corporation,2012-05-10,Productivity,3.0,59.55,Thursday
TubeMate - YouTube V,1.0,YT Mate Studio,2021-09-15,Music,12.0,22.75,Wednesday
Photo Editor | Polar,1.0,Polarr,2015-10-12,Photo & video,3.0,657.14,Monday
CamScanner PC,1.0,IntSig International Holding Limited,2021-01-11,Productivity,3.0,180.22,Monday
Bluetooth Audio Rece,1.0,Mark Smirnov,2020-05-26,Music,3.0,25.2,Tuesday
PDF Reader Pro - Fre,1.0,"PDF Technologies, Inc.",2019-01-08,Business  >  File management,3.0,92.96,Tuesday
